Year,GDP.Per.Capita
2019,46194.72523
2018,46313.17137
2017,45148.55271
2016,42322.48478
2015,43585.51198
2014,50893.44671
2013,52652.59368
2012,52678.39012
2011,52087.44638
2010,47448.01322
2009,40773.06153
2008,46594.45095
2007,44543.04104
2006,40385.86996
2005,36266.18712
2004,32034.30774
2003,28200.65808
2002,24169.28473
2001,23738.18072
2000,24190.24962
1999,22238.66454
1998,20952.06946
1997,21829.23344
1996,21227.34753
1995,20613.78788
1994,19935.38146
1993,20121.16125
1992,20879.84833
1991,21768.34329
1990,21448.36196
1989,20715.63148
1988,18936.9641
1987,16308.96697
1986,14461.06924
1985,14114.80776
1984,13877.91708
1983,13425.12249
1982,12481.87479
1981,12337.46625
1980,11170.56397
1979,10043.66096
1978,9123.691334
1977,8919.057461
1976,8809.26466
1975,7511.211343
1974,7033.011021
1973,5838.660894
1972,5089.587902
1971,4520.162878
1970,4121.932814
1969,3763.953379
1968,3462.678872
1967,3217.159294
1966,3047.106147
1965,2770.361804
1964,2555.111146
1963,2374.498448
1962,2268.585346
1961,2240.433039
1960,2259.294285
